PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2020,31.75,-109.25,5.49,6.28,6.55,6.56,6.16,6.1,4.66,4.5,6.01,5.29,6.08,6.13,5.81
WS50M,2020,31.75,-109.75,5.23,5.98,6.22,6.14,5.73,6.01,4.5,4.22,5.73,5.03,5.89,5.98,5.55
WS50M,2020,31.75,-110.25,5,5.66,5.88,5.76,5.33,5.88,4.24,3.94,5.44,4.78,5.73,5.87,5.28
WS50M,2020,31.75,-110.75,4.9,5.46,5.64,5.49,5.09,5.78,4.04,3.81,5.21,4.63,5.66,5.91,5.13
WS50M,2020,31.75,-111.25,5.03,5.59,5.68,5.64,5.35,6.02,4.26,4.09,5.17,4.8,5.67,6.15,5.28
WS50M,2020,31.75,-111.75,4.93,5.54,5.58,5.67,5.55,6.26,4.7,4.33,4.96,4.83,5.24,5.99,5.29
WS50M,2020,31.75,-112.25,5.02,5.62,5.45,5.55,5.63,6.37,5.17,4.68,4.82,4.82,5.03,6.06,5.35
WS50M,2020,31.75,-112.75,5.03,5.6,5.25,5.32,5.58,6.29,5.53,4.98,4.75,4.68,4.85,6,5.32
WS50M,2020,31.75,-113.25,4.92,5.41,5,5.01,5.42,6.01,5.63,5.14,4.7,4.43,4.69,5.73,5.18
WS50M,2020,31.75,-113.75,4.85,5.15,4.8,4.64,5.21,5.54,5.31,5.11,4.61,4.25,4.71,5.45,4.97
WS50M,2020,32.25,-109.25,5.06,5.83,6.13,6.18,6,5.96,4.69,4.4,5.79,4.95,5.8,5.45,5.51
WS50M,2020,32.25,-109.75,4.82,5.62,5.76,5.75,5.5,5.8,4.58,4.21,5.56,4.76,5.56,5.38,5.27
WS50M,2020,32.25,-110.25,4.63,5.33,5.33,5.27,5.03,5.59,4.29,3.96,5.29,4.52,5.46,5.45,5
WS50M,2020,32.25,-110.75,4.5,5.03,5,4.88,4.76,5.43,3.99,3.82,5,4.31,5.47,5.57,4.8
WS50M,2020,32.25,-111.25,4.59,5.1,5.13,5.17,5.13,5.85,4.26,4.12,4.96,4.53,5.57,5.76,5.01
WS50M,2020,32.25,-111.75,4.43,4.99,5.24,5.51,5.51,6.31,4.85,4.46,4.81,4.53,5.05,5.41,5.09
WS50M,2020,32.25,-112.25,4.61,5.12,5.31,5.56,5.73,6.49,5.39,4.81,4.73,4.63,4.88,5.5,5.23
WS50M,2020,32.25,-112.75,4.78,5.22,5.24,5.4,5.78,6.43,5.78,5.13,4.69,4.64,4.72,5.56,5.28
WS50M,2020,32.25,-113.25,4.8,5.19,5.04,5.13,5.68,6.19,5.9,5.32,4.65,4.51,4.51,5.45,5.2
WS50M,2020,32.25,-113.75,4.79,5.11,4.88,4.82,5.51,5.79,5.61,5.26,4.61,4.38,4.52,5.29,5.05
WS50M,2020,32.75,-109.25,4.5,5.14,5.37,5.6,5.64,5.72,4.61,4.26,5.42,4.56,5.35,4.83,5.08
WS50M,2020,32.75,-109.75,4.35,5.05,5.04,5.15,5.13,5.47,4.45,4.14,5.23,4.39,5.15,4.76,4.85
WS50M,2020,32.75,-110.25,4.37,4.96,4.79,4.75,4.76,5.31,4.22,4.04,5.05,4.29,5.22,5.03,4.72
WS50M,2020,32.75,-110.75,4.44,4.82,4.63,4.48,4.62,5.25,4.02,4,4.85,4.27,5.44,5.43,4.68
WS50M,2020,32.75,-111.25,4.51,4.88,4.61,4.63,4.82,5.45,4.16,4.09,4.72,4.47,5.5,5.72,4.79
WS50M,2020,32.75,-111.75,4.16,4.6,4.62,4.95,5.13,5.75,4.71,4.29,4.54,4.28,4.9,5.14,4.76
WS50M,2020,32.75,-112.25,4.21,4.62,4.84,5.27,5.55,6.07,5.3,4.66,4.55,4.39,4.72,5.05,4.94
WS50M,2020,32.75,-112.75,4.41,4.74,4.95,5.35,5.78,6.16,5.7,5.01,4.56,4.48,4.62,5.13,5.08
WS50M,2020,32.75,-113.25,4.61,4.89,4.9,5.18,5.75,5.96,5.79,5.19,4.53,4.48,4.55,5.24,5.09
WS50M,2020,32.75,-113.75,4.79,5.08,4.91,5.03,5.65,5.65,5.53,5.14,4.55,4.52,4.78,5.35,5.08
WS50M,2020,33.25,-109.25,4.44,4.94,5.25,5.47,5.36,5.68,4.43,3.85,4.81,4.46,4.99,4.82,4.87
