PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,2020,41.25,-104.25,8.8,8.23,7.59,6.98,6.56,6.55,5.96,5.64,6.78,7.43,7.69,8.92,7.26
WS50M,2020,41.25,-104.75,9.76,8.82,7.91,7.15,6.45,6.62,5.94,5.69,6.95,7.89,8.33,9.59,7.59
WS50M,2020,41.25,-105.25,10.18,9.11,8.12,7.24,6.34,6.62,5.86,5.69,7.03,8.29,8.73,9.63,7.73
WS50M,2020,41.25,-105.75,9.61,8.67,7.89,7,6.11,6.41,5.65,5.51,6.8,8.2,8.47,8.74,7.42
WS50M,2020,41.25,-106.25,7.97,7.27,6.88,6.16,5.57,5.89,5.2,4.96,5.93,7.16,7.29,7.04,6.44
WS50M,2020,41.25,-106.75,7.59,6.93,6.84,6.02,5.6,6,5.3,4.91,5.77,6.86,7.14,6.57,6.29
WS50M,2020,41.25,-107.25,7.81,7.16,7.38,6.23,6.05,6.49,5.72,5.17,5.91,7.09,7.5,6.66,6.59
WS50M,2020,41.25,-107.75,7.85,7.38,7.63,6.41,6.39,6.8,6,5.31,6.11,7.25,7.59,6.62,6.78
WS50M,2020,41.25,-108.25,7.63,7.43,7.44,6.45,6.46,6.81,6.03,5.2,6.27,7.24,7.3,6.38,6.72
WS50M,2020,41.25,-108.75,7.71,7.63,7.31,6.5,6.54,6.89,6.04,5.11,6.46,7.46,7.25,6.46,6.78
WS50M,2020,41.25,-109.25,7.28,7.34,6.79,6.27,6.34,6.59,5.69,4.8,6.21,7.08,6.79,5.97,6.43
WS50M,2020,41.25,-109.75,7.52,7.51,6.71,6.38,6.2,6.43,5.48,4.73,6.11,7.26,6.8,6.04,6.43
WS50M,2020,41.25,-110.25,7.68,7.45,6.69,6.43,6,6.23,5.34,4.7,5.9,7.21,6.81,6.08,6.37
WS50M,2020,41.25,-110.75,7.2,6.75,6.39,6.09,5.6,5.79,5.12,4.57,5.44,6.5,6.38,5.67,5.95
WS50M,2020,41.75,-104.25,9.12,8.67,7.84,7,6.64,6.59,6.05,5.88,6.92,7.62,8.04,8.99,7.44
WS50M,2020,41.75,-104.75,10.21,9.39,8.27,7.29,6.63,6.72,6.13,6,7.27,8.15,8.96,9.82,7.9
WS50M,2020,41.75,-105.25,11.01,9.96,8.74,7.65,6.73,6.95,6.28,6.15,7.63,8.82,9.73,10.31,8.32
WS50M,2020,41.75,-105.75,10.93,9.89,8.83,7.73,6.76,7.09,6.34,6.19,7.68,9.13,9.8,10.01,8.36
WS50M,2020,41.75,-106.25,9.48,8.6,7.97,7,6.37,6.75,6,5.8,6.93,8.34,8.61,8.51,7.53
WS50M,2020,41.75,-106.75,9.43,8.3,8.15,6.89,6.51,6.99,6.27,5.78,6.82,8.22,8.68,8.24,7.52
WS50M,2020,41.75,-107.25,9.45,8.3,8.31,6.99,6.71,7.19,6.48,5.81,6.87,8.29,8.78,8.12,7.61
WS50M,2020,41.75,-107.75,9.28,8.31,8.24,7.08,6.85,7.26,6.59,5.82,6.96,8.32,8.6,7.85,7.59
WS50M,2020,41.75,-108.25,8.97,8.29,7.99,7.09,6.91,7.21,6.57,5.79,7.03,8.32,8.2,7.46,7.48
WS50M,2020,41.75,-108.75,8.89,8.45,7.85,7.14,6.96,7.18,6.48,5.78,7.09,8.46,8,7.29,7.46
WS50M,2020,41.75,-109.25,7.71,7.48,7.06,6.75,6.57,6.7,6.07,5.41,6.55,7.72,6.89,6.08,6.75
WS50M,2020,41.75,-109.75,7.49,7.32,6.77,6.7,6.28,6.47,5.83,5.29,6.36,7.67,6.55,5.88,6.55
WS50M,2020,41.75,-110.25,7.56,7.3,6.68,6.64,6.01,6.26,5.61,5.16,6.16,7.59,6.46,5.97,6.45
WS50M,2020,41.75,-110.75,7.27,6.84,6.42,6.27,5.71,5.89,5.3,4.92,5.75,7.02,6.17,5.74,6.1
WS50M,2020,42.25,-104.25,8.71,8.56,7.68,6.95,6.72,6.69,6.04,5.95,6.84,7.47,7.88,8.79,7.35
WS50M,2020,42.25,-104.75,9.64,9.18,7.94,7.09,6.58,6.67,6.1,5.94,7.17,7.81,8.69,9.55,7.69
WS50M,2020,42.25,-105.25,10.76,9.96,8.47,7.46,6.69,6.93,6.32,6.12,7.6,8.54,9.73,10.32,8.24
WS50M,2020,42.25,-105.75,11.32,10.28,8.88,7.7,6.92,7.28,6.56,6.37,7.81,9.13,10.33,10.5,8.58
WS50M,2020,42.25,-106.25,10.15,9.16,8.34,7.12,6.79,7.14,6.45,6.29,7.21,8.5,9.41,9.2,7.98
WS50M,2020,42.25,-106.75,9.84,8.66,8.24,6.94,6.72,7.12,6.43,6.05,6.97,8.28,9.13,8.71,7.76
WS50M,2020,42.25,-107.25,9.75,8.45,8.22,6.97,6.79,7.18,6.47,5.9,6.94,8.24,9.04,8.45,7.7
WS50M,2020,42.25,-107.75,9.61,8.34,8.11,6.99,6.86,7.19,6.45,5.82,6.91,8.2,8.91,8.16,7.63
WS50M,2020,42.25,-108.25,9.39,8.33,7.92,6.98,6.87,7.12,6.36,5.83,6.89,8.18,8.65,7.79,7.52
WS50M,2020,42.25,-108.75,9.21,8.57,7.83,7.12,6.86,7.04,6.32,5.98,6.97,8.34,8.36,7.5,7.51
WS50M,2020,42.25,-109.25,7.47,7.27,6.91,6.6,6.44,6.5,5.98,5.66,6.52,7.54,6.71,6.08,6.64
WS50M,2020,42.25,-109.75,6.85,6.82,6.35,6.34,6.1,6.16,5.7,5.49,6.25,7.32,6.05,5.67,6.26
WS50M,2020,42.25,-110.25,6.56,6.43,5.88,5.94,5.67,5.7,5.22,5.12,5.8,6.95,5.65,5.42,5.86
WS50M,2020,42.25,-110.75,6.12,5.75,5.41,5.34,5.15,5.1,4.62,4.56,5.1,6.14,5.21,4.91,5.28
WS50M,2020,42.75,-104.25,8.55,8.56,7.61,7.07,6.88,6.94,6.21,6.15,6.82,7.44,8.04,8.85,7.42
WS50M,2020,42.75,-104.75,9.18,8.98,7.78,7.06,6.81,6.86,6.29,6.1,7.04,7.63,8.55,9.35,7.63
WS50M,2020,42.75,-105.25,10.1,9.55,8.09,7.18,6.8,6.94,6.4,6.14,7.3,8.06,9.33,9.94,7.98
WS50M,2020,42.75,-105.75,10.78,9.89,8.33,7.25,6.83,7.13,6.49,6.23,7.39,8.4,9.93,10.18,8.23
WS50M,2020,42.75,-106.25,10.09,9.11,7.98,6.82,6.65,7.02,6.3,6.11,6.89,7.92,9.42,9.2,7.79
WS50M,2020,42.75,-106.75,9.66,8.71,7.79,6.75,6.51,6.84,6.09,5.88,6.77,7.76,9.01,8.65,7.53
WS50M,2020,42.75,-107.25,9.42,8.4,7.66,6.7,6.58,6.81,6.04,5.72,6.68,7.62,8.83,8.27,7.39
WS50M,2020,42.75,-107.75,8.95,7.9,7.37,6.46,6.52,6.65,5.87,5.48,6.4,7.28,8.48,7.65,7.08
WS50M,2020,42.75,-108.25,8.51,7.55,7.04,6.2,6.29,6.38,5.64,5.29,6.13,7.02,8.08,7.05,6.76
WS50M,2020,42.75,-108.75,8.96,8.3,7.21,6.51,6.17,6.4,5.71,5.51,6.41,7.61,8.21,7.33,7.02
WS50M,2020,42.75,-109.25,7.73,7.45,6.78,6.24,5.98,6.15,5.52,5.34,6.2,7.34,7.01,6.37,6.5
WS50M,2020,42.75,-109.75,6.52,6.45,5.86,5.68,5.61,5.63,5.11,5.04,5.75,6.79,5.84,5.5,5.81
WS50M,2020,42.75,-110.25,5.68,5.51,5.02,4.97,5.08,4.97,4.53,4.58,5.06,6.02,4.97,4.69,5.09
WS50M,2020,42.75,-110.75,5.27,4.83,4.58,4.38,4.54,4.36,3.97,4.07,4.34,5.17,4.57,4.09,4.51
WS50M,2020,43.25,-104.25,7.74,8.01,7.06,6.88,6.64,6.78,5.98,6.03,6.46,7.07,7.51,8.28,7.03
WS50M,2020,43.25,-104.75,8.4,8.5,7.4,6.95,6.79,6.84,6.14,6.1,6.71,7.33,8.1,8.82,7.33
WS50M,2020,43.25,-105.25,9.07,8.88,7.65,6.96,6.79,6.83,6.21,6.06,6.89,7.55,8.66,9.23,7.56
WS50M,2020,43.25,-105.75,9.45,8.97,7.66,6.87,6.62,6.79,6.12,5.92,6.87,7.58,8.91,9.23,7.58
WS50M,2020,43.25,-106.25,9.14,8.51,7.33,6.5,6.26,6.56,5.75,5.58,6.48,7.27,8.63,8.5,7.2
WS50M,2020,43.25,-106.75,9.14,8.56,7.32,6.59,6.19,6.47,5.6,5.45,6.53,7.36,8.54,8.24,7.16
WS50M,2020,43.25,-107.25,8.59,8.03,7.02,6.27,6.27,6.28,5.54,5.35,6.23,6.85,8.09,7.66,6.84
WS50M,2020,43.25,-107.75,7.69,7.15,6.5,5.77,6.08,5.93,5.32,5.05,5.71,6.2,7.42,6.7,6.29
WS50M,2020,43.25,-108.25,7.13,6.61,6.09,5.44,5.65,5.58,5.04,4.71,5.38,5.94,6.96,5.97,5.87
WS50M,2020,43.25,-108.75,8.05,7.66,6.34,5.81,5.39,5.59,5.12,4.94,5.87,6.74,7.43,6.77,6.3
WS50M,2020,43.25,-109.25,8.18,7.72,6.69,6.03,5.47,5.72,5.09,4.92,5.87,7.2,7.43,6.77,6.42
WS50M,2020,43.25,-109.75,6.65,6.32,5.69,5.2,5.1,5.14,4.59,4.54,5.2,6.35,5.91,5.44,5.51
WS50M,2020,43.25,-110.25,5.22,4.89,4.61,4.29,4.59,4.44,4.07,4.11,4.41,5.26,4.55,4.09,4.55
WS50M,2020,43.25,-110.75,4.79,4.29,4.25,3.9,4.29,4.06,3.84,3.9,3.94,4.62,4.21,3.55,4.14
